,sp_primary
1059,Q9NYA1
1060,Q96PU8
1061,Q9Y2C9
1062,A4D2B0
1063,P49675
1064,P09467
1065,P20839
1066,P78380
1067,Q92556
1068,O15164
1069,P20591
1070,Q96PU4
1071,P41271
1072,O15392
1073,P13236
1074,P20823
1075,O60760
1076,P52895
1077,P37840
1078,Q01968
1079,Q8N5K1
1080,P50120
1081,Q9BUB5
1082,P26441
1083,Q15631
1084,Q6PJG0
1085,Q9Y600
1086,Q7Z628
1087,P50897
1088,Q07820
1089,P59666
1090,Q16881
1091,P60891
1092,P52209
1093,Q9NPI6
1094,O75822
1095,Q9UH03
1096,O43557
1097,Q96CG3
1098,Q15468
1099,P20231
1100,P00374
1101,O00244
1102,P26678
1103,P21359
1104,Q7KZF4
1105,P30044
1106,Q9HD42
1107,P86397
1108,Q9NTM9
1109,O95568
1110,Q9BVA6
1111,Q02224
1112,P99999
1113,Q5JS54
1114,P53365
1115,Q15661
1116,P15428
1117,Q8IU85
1118,P08473
1119,Q8WYQ5
1120,P46597
1121,Q6ZMJ4
1122,Q00604
1123,Q96KB5
1124,Q2Y0W8
1125,P15121
1126,Q16836
1127,O43521
1128,P16109
1129,P19875
1130,O43252
1131,O75715
1132,O43704
1133,Q5NV90
1134,Q9P000
1135,Q03933
1136,Q8N0X4
1137,P05067
1138,P27487
1139,Q8N126
1140,P50053
1141,P52594
1142,Q15493
1143,Q8WTQ1
1144,P60903
1145,P28908
1146,O15119
1147,P11226
1148,Q96T66
1149,P14598
1150,P15056
1151,P09874
1152,P63316
1153,Q13105
1154,Q07666
1155,P23368
1156,O43175
1157,Q9UBQ7
1158,P51858
1159,Q14117
1160,P59665
1161,Q12791
1162,P16157
1163,Q10471
1164,P58154
1165,P03372
1166,P23381
1167,P55265
1168,P54886
1169,Q96BD5
1170,Q07343
1171,Q9Y5K5
1172,Q9H4W6
1173,P06400
1174,Q9H4Y5
1175,P02533
1176,P04003
1177,Q7Z624
1178,P57768
1179,Q9UBX2
1180,P29965
1181,P68871
1182,P05546
1183,P01876
1184,O94925
1185,Q9NVV4
1186,Q7Z6E9
1187,Q99708
1188,P41181
1189,Q7L273
1190,Q8WXF1
1191,P40189
1192,Q9GZX6
1193,P54577
1194,P09238
1195,P06241
1196,P14618
1197,Q16555
1198,P06734
1199,Q08722
1200,P48426
1201,P30291
1202,P38646
1203,Q9BPZ7
1204,Q13523
1205,P13727
1206,Q719H9
1207,P01106
1208,Q9UKV3
1209,P43351
1210,Q9NP97
1211,O43809
1212,O14867
1213,O95292
1214,Q16595
1215,O00429
1216,Q14527
1217,Q7L5N1
1218,Q9UQQ1
1219,Q9Y466
1220,Q13467
1221,P00740
1222,Q10588
1223,P55089
1224,P20700
1225,Q9Y3Z3
1226,Q13620
1227,Q8WYA6
1228,Q9BXJ0
1229,Q9H361
1230,Q8N5J2
1231,P49773
1232,P01732
1233,Q13825
1234,Q9NNX6
1235,P60568
1236,Q6UWP2
1237,P11217
1238,P49802
1239,Q8TE04
1240,O15350
1241,P02511
1242,Q13586
1243,P33981
1244,Q9GZZ9
1245,O75746
1246,O75525
1247,Q92979
1248,P28161
1249,P46926
1250,P33316
1251,Q9UM07
1252,Q9HCN6
1253,Q9H2C0
1254,Q99616
1255,P08319
1256,Q7L5Y1
1257,Q6FI18
1258,Q9Y3M2
1259,O35066
1260,Q9Y6X9
1261,P0DOX5
1262,P23526
1263,P10828
1264,P78310
1265,P39748
1266,Q16698
1267,P21695
1268,P36959
1269,P0AEX9
1270,P10276
1271,Q8N1Q8
1272,P78410
1273,Q13596
1274,Q14149
1275,P13645
1276,Q9Y6A5
1277,O76094
1278,P03950
1279,Q15274
1280,P25685
1281,Q9HBH1
1282,P17028
1283,P36639
1284,Q9NV35
1285,O60888
1286,P61981
1287,Q9NTZ6
1288,Q96AP0
1289,Q9HCU9
1290,Q08050
1291,P51449
1292,P46976
1293,P02689
1294,P23528
1295,Q14258
1296,P55774
1297,P14210
1298,Q9NWT6
1299,Q8IXJ6
1300,O95340
1301,Q9BV86
1302,P42262
1303,Q96F86
1304,Q14832
1305,O00478
1306,Q96EK4
1307,P11216
1308,Q63ZY3
1309,P35523
1310,P18754
1311,P09382
1312,P01133
1313,Q9UK05
1314,P13929
1315,P62917
1316,Q9BXM0
1317,O43639
1318,Q9Y5P4
1319,Q5T2W1
1320,P43357
1321,Q15363
1322,Q14160
1323,Q02790
1324,P61956
1325,Q9H9B1
1326,Q9P1W8
1327,Q16790
1328,O14960
1329,Q14108
1330,Q86YV5
1331,P40261
1332,P35247
1333,Q06520
1334,P22301
1335,P27707
1336,P29590
1337,P55064
1338,Q13489
1339,Q9Y230
1340,Q9UH99
1341,Q58F21
1342,Q5FWF5
1343,Q01151
1344,Q9H3H5
1345,Q9GZN7
1346,P00325
1347,P60174
1348,Q15485
1349,P54619
1350,Q9HB90
1351,Q99T13
1352,P08684
1353,O60341
1354,P09960
1355,Q7RTP6
1356,P49763
1357,P61970
1358,Q15554
1359,P17707
1360,Q08499
1361,Q02750
1362,P09104
1363,Q93096
1364,Q9HB71
1365,Q8WW01
1366,P30040
1367,Q07912
1368,Q9Y3Q0
1369,P55789
1370,Q96EF0
1371,Q9NZJ5
1372,O95619
1373,Q02643
1374,Q16850
1375,Q9BYV2
1376,O14976
1377,Q5VWG9
1378,O75084
1379,P57764
1380,P00441
1381,Q13322
1382,Q96LB8
1383,Q9H477
1384,P05154
1385,Q8N5Z0
1386,Q7LG56
1387,Q9H8M2
1388,P46940
1389,Q9BRJ7
1390,Q96PE7
1391,Q5T1C6
1392,P46776
1393,Q16820
1394,P24043
1395,P31415
1396,P08100
1397,O14793
1398,Q96T68
1399,Q10469
1400,P37288
1401,O95150
1402,Q9BPU6
1403,Q96EP0
1404,Q0SXH8
1405,Q9H3F6
1406,Q96QE5
1407,Q08257
1408,P47992
1409,P52179
1410,P32321
1411,O95045
1412,P41235
1413,P11799
1414,Q8WXH0
1415,P16422
1416,O94788
1417,Q9UNS1
1418,Q15431
1419,P28741
1420,P49913
1421,Q02078
1422,P00480
1423,P01857
1424,Q16875
1425,Q00266
1426,Q16873
1427,P09237
1428,P49903
1429,Q12888
1430,O43660
1431,O60741
1432,Q8TDY4
1433,P48443
1434,Q9UGN4
1435,P49748
1436,P39059
1437,Q92743
1438,P11940
1439,O75129
1440,P06702
1441,Q8WVQ1
1442,P23297
1443,Q8N149
1444,O14815
1445,Q9GZM8
1446,Q8N0W4
1447,P24468
1448,Q9NTG7
1449,P16070
1450,O95999
1451,P09417
1452,Q12913
1453,O60885
1454,P81605
1455,P04150
1456,Q9UDY8
1457,Q03431
1458,P29401
1459,Q969E3
1460,Q9HCM2
1461,P07814
1462,Q9BXL7
1463,Q14498
1464,Q9UN86
1465,O60825
1466,Q9NRD5
1467,P04818
1468,Q15075
1469,P15692
1470,Q9BZX2
1471,P01850
1472,Q9BTZ2
1473,Q86SG5
1474,Q15233
1475,Q16584
1476,P01112
1477,P33552
1478,P20701
1479,Q14749
1480,P36551
1481,O43602
1482,P32929
1483,P22033
1484,P23468
1485,Q12923
1486,P20711
1487,O14862
1488,Q9Y2C4
1489,O96007
1490,Q6IMN6
1491,Q12866
1492,P50052
1493,Q86TI2
1494,Q9Y5C1
1495,P09919
1496,Q06210
1497,Q13107
1498,Q15223
1499,Q9UJ71
1500,Q13009
1501,Q96JM7
1502,P30038
1503,Q13049
1504,Q99748
1505,P28347
1506,P30542
1507,P07477
1508,P62805
1509,Q9Y265
1510,Q16654
1511,Q9BQE4
1512,O60930
1513,Q08493
1514,O60895
1515,Q8TBB1
1516,P52564
1517,P53990
1518,O60486
1519,Q9Y3Q4
1520,O00399
1521,O15488
1522,P01593
1523,P04155
1524,P07602
1525,Q13370
1526,P18669
1527,Q96LD8
1528,P02751
1529,P26368
1530,Q96FE5
1531,P05107
1532,P51800
1533,P02461
1534,Q9H0N5
1535,Q9NQG5
1536,Q8N8U2
1537,Q5TC82
1538,Q12918
1539,Q9NZI5
1540,Q8TCG1
1541,Q14982
1542,Q9GZX7
1543,Q9UHV8
1544,P62993
1545,P24071
1546,P06401
1547,Q96HN2
1548,P58340
1549,Q9ULA0
1550,Q32MZ4
1551,P31941
1552,Q02763
1553,P05231
1554,P00492
1555,Q9H0P0
1556,O43915
1557,P42212
1558,Q9NZK5
1559,Q9NPC2
1560,Q8WTT0
1561,Q9NYB0
1562,Q12931
1563,O15085
1564,P49789
1565,P22303
1566,Q96P09
1567,O75897
1568,P21709
1569,P36776
1570,Q9NX01
1571,Q13257
1572,Q07869
1573,Q9H0F6
1574,P21589
1575,Q14241
1576,P14868
1577,O95819
1578,P21675
1579,P14174
1580,P84022
1581,P12532
1582,Q92871
1583,Q9NZ45
1584,P22352
1585,Q96A44
1586,P23760
1587,P49327
1588,P11021
1589,Q92879
1590,Q9NZJ4
1591,Q9UIL1
1592,Q86WV6
1593,P55263
1594,P49366
1595,P08246
1596,Q93088
1597,P02775
1598,P20023
1599,P46531
1600,Q9UPP1
1601,Q00059
1602,O75367
1603,Q96RJ3
1604,P05113
1605,P16444
1606,P00533
1607,Q9ULC4
1608,Q13137
1609,A4D126
1610,P36544
1611,P36406
1612,P46100
1613,P05412
1614,Q7Z589
1615,O14732
1616,Q8N335
1617,O75469
1618,Q86SX6
1619,Q15046
1620,O14556
1621,Q86T24
1622,Q9NUI1
1623,Q9Y2J8
1624,Q9NPD8
1625,Q9UBU9
1626,P63104
1627,P20963
1628,P09619
1629,Q8TF65
1630,Q9GZT4
1631,Q9H777
1632,Q9NZ09
1633,Q96LA8
1634,Q5U651
1635,Q8TF72
1636,O95453
1637,Q8N4E4
1638,P08118
1639,Q8N159
1640,Q86W24
1641,O60462
1642,P08637
1643,Q9ULU4
1644,Q02410
1645,P14555
1646,P01034
1647,Q13526
1648,P47736
1649,Q15642
1650,P56524
1651,Q6ZRY4
1652,O14776
1653,O95750
1654,P62256
1655,Q9H9E3
1656,P48736
1657,Q04771
1658,Q15109
1659,Q9Y2G1
1660,P42126
1661,Q9HD67
1662,P21579
1663,O75340
1664,P49643
1665,Q9Y2Y4
1666,O43865
1667,Q8ND30
1668,P28472
1669,Q9H147
1670,P48735
1671,Q9JI60
1672,P80192
1673,Q8N448
1674,Q93009
1675,P17210
1676,P04035
1677,Q9NQR1
1678,Q14247
1679,Q9Y3E7
1680,Q14781
1681,Q9BPX6
1682,P48775
1683,Q7NDN8
1684,O75164
1685,Q9UHP3
1686,P04233
1687,O76074
1688,Q9UNQ2
1689,Q9UKG1
1690,Q14203
1691,O75362
1692,O15066
1693,Q8NAU1
1694,Q9H3L0
1695,P61024
1696,Q16854
1697,P28827
1698,P51787
1699,P35613
1700,Q92541
1701,P41146
1702,O14558
1703,P15559
1704,P11473
1705,Q9UMX1
1706,P16083
1707,P08235
1708,Q02156
1709,Q96FJ2
1710,A2RUC4
1711,P0AEY0
1712,Q9H492
1713,Q9BTM1
1714,P42330
1715,P08758
1716,P11474
1717,P32455
1718,P27348
1719,P0AA27
1720,P51157
1721,Q9NYY3
1722,Q9Y6U3
1723,P00747
1724,P40198
1725,P43490
1726,P78556
1727,Q9Y2Z4
1728,P07711
1729,P10721
1730,Q8N371
1731,Q8TF42
1732,O15178
1733,P32927
1734,O15530
1735,Q99714
1736,Q9NPJ3
1737,Q13332
1738,O43791
1739,O00757
1740,Q7L1T6
1741,Q96RP3
1742,O95390
1743,Q15750
1744,P17301
1745,Q14376
1746,P02794
1747,P56817
1748,P41182
1749,Q9BY49
1750,P30711
1751,O00294
1752,P50479
1753,P03369
1754,P29475
1755,Q8WTR2
1756,Q96EB6
1757,Q13627
1758,P02724
1759,P56279
1760,Q92854
1761,P35914
1762,P53673
1763,Q8N4P3
1764,Q16552
1765,Q99081
1766,Q08554
1767,P42224
1768,O43570
1769,Q6P587
1770,P61086
1771,P31946
1772,P12830
1773,P55212
1774,P40692
1775,Q16570
1776,P11215
1777,P04278
1778,P11362
1779,Q14242
1780,P22914
1781,P06744
1782,P42773
1783,P35568
1784,P34913
1785,Q08043
1786,O75629
1787,P54868
1788,Q96J94
1789,A8MYU2
1790,Q9BV20
1791,Q9HBD1
1792,P56278
1793,P21802
